priority_score,tax_delinquent,occupancy,property_address,unit,property_type,owner_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,foreign_address_hint,estate_or_heirs,life_estate,trust,corporate,care_of_mailing,et_al_multiple_owners,owner_next_door,likely_inherited,last_sale_date,last_sale_price,last_sale_type,years_since_last_sale,deed_book,deed_page,assessed_total,assessed_land,assessed_building,year_built,style,units,living_area_sqft,lot_size_sqft,zoning,parcel_id,use_code,use_description,tax_delinquent_detail,tax_delinquent_source,lat,lon,map_link,loc_id,data_vintage
6,,absentee - elsewhere in MA,49 MARION RD,,Three-family,DEFABRITIIS FAMILY LLC,LLC / corporate,127 WHITMAN RD,WALTHAM,MA,02453,,,,,YES,,,,,1994-11-17,1,nominal / non-arms-length transfer,32,24999,541,1456000,931000,525000,1910,Old Style,3,3680,3600,7,1-88,105,Three-Family Residential,,,42.377534,-71.158353,"https://maps.google.com/?q=42.377534,-71.158353",F_748479_2962787,CY24_FY24
6,,absentee - elsewhere in MA,5-7 COLBY ST,,Two-family,MYZ REALTY GROUP LLC,LLC / corporate,290 TURNPIKE ST SUITE 150-402,WESTBOROUGH,MA,01581,,,,,YES,,,,,1995-11-29,1,nominal / non-arms-length transfer,31,25853,359,1015000,720000,295000,1927,Old Style,2,2112,4593,7,22-163,104,Two-Family Residential,,,42.392078,-71.158177,"https://maps.google.com/?q=42.392078,-71.158177",F_748503_2968088,CY24_FY24
6,,absentee - elsewhere in MA,50-52 HULL ST,,Two-family,50-52 HULL STREET LLC,LLC / corporate,5 WRIGHT ST,LEXINGTON,MA,02420,,,,,YES,,,,,1992-09-24,1,nominal / non-arms-length transfer,34,22424,471,1164000,729000,421000,1912,Old Style,2,2146,3780,7,14-155,104,Two-Family Residential,,,42.384631,-71.184375,"https://maps.google.com/?q=42.384631,-71.184375",F_741438_2965347,CY24_FY24
6,,absentee - elsewhere in MA (PO Box),52-54 FOSTER RD,,Two-family,MZ REALTY LAND TRUST LLC TRS,LLC / corporate,PO BOX 35309,BRIGHTON,MA,02135,,,,YES,YES,,,,,2013-11-04,10,nominal / non-arms-length transfer,13,62880,392,1356000,928000,420000,1925,Old Style,2,2662,5192,7,10-110,104,Two-Family Residential,,,42.380065,-71.159573,"https://maps.google.com/?q=42.380065,-71.159573",F_748142_2963709,CY24_FY24
6,,absentee - out of state,59-61 GILBERT RD,,Two-family,GILBERT ROAD LLC,LLC / corporate,2010 S LAROSA DR,TEMPE,AZ,85282,,,,,YES,,,,,2000-11-29,1,nominal / non-arms-length transfer,26,32072,577,1108000,779000,329000,1924,Old Style,2,2422,4931,7,12-67,104,Two-Family Residential,,,42.384195,-71.178921,"https://maps.google.com/?q=42.384195,-71.178921",F_742911_2965193,CY24_FY24
6,,absentee - elsewhere in MA,65 MARLBORO ST,,Three-family,65 MARLBORO LLC,LLC / corporate,160 TOWER RD,LINCOLN,MA,01773,,,,,YES,,,,,1996-09-19,1,nominal / non-arms-length transfer,30,26681,2,1505000,1011000,485000,1900,Old Style,3,3216,5000,7,1-174,105,Three-Family Residential,,,42.378225,-71.156034,"https://maps.google.com/?q=42.378225,-71.156034",F_749105_2963042,CY24_FY24
6,,absentee - out of state,673 BELMONT ST,,Two-family,ELTHAM REALTY LLC,LLC / corporate,2010 S LAROSA DR,TEMPE,AZ,85282,,,,,YES,,,,,2000-11-29,1,nominal / non-arms-length transfer,26,32072,582,1041000,674000,359000,1924,Old Style,2,2614,5318,7,13-29,104,Two-Family Residential,,,42.380405,-71.180479,"https://maps.google.com/?q=42.380405,-71.180479",F_742496_2963811,CY24_FY24
6,,absentee - out of state,69 MARLBORO ST,,Three-family,CORAL 69 MARLBORO LLC,LLC / corporate,228 PARK AVE S PMB 35567,NEW YORK,NY,10003,,,,,YES,,,,,2000-09-27,1,nominal / non-arms-length transfer,26,1227,178,1152000,1011000,132000,1900,Old Style,3,3840,5000,7,1-173,105,Three-Family Residential,,,42.378356,-71.155971,"https://maps.google.com/?q=42.378356,-71.155971",F_749121_2963090,CY24_FY24
6,,absentee - out of state (PO Box),76-78 LEWIS RD,,Two-family,560 SECOND STREET LLC,LLC / corporate,PO BOX 5525,WEST LEBANON,NH,03784,LEBANON,,,,YES,,,,,2003-11-20,1,nominal / non-arms-length transfer,23,41467,539,1422000,840000,582000,1923,Old Style,2,3137,5308,7,3-59,104,Two-Family Residential,,,42.379399,-71.164554,"https://maps.google.com/?q=42.379399,-71.164554",F_746801_2963461,CY24_FY24
5,,absentee - elsewhere in MA,104 FLETCHER RD,,Single family,104 FLETCHER ROAD LLC,LLC / corporate,60 STATE ST SUITE 910,BOSTON,MA,02109,,,,,YES,,,,,2014-05-21,1,nominal / non-arms-length transfer,12,1453,20,4044000,1378000,2661000,1932,Colonial,1,4818,21976,8,55-29,101,Single Family Residential,,,42.403034,-71.180535,"https://maps.google.com/?q=42.403034,-71.180535",F_742447_2972053,CY24_FY24
5,,absentee - elsewhere in MA,105-107 SYCAMORE ST,,Three-family,CUNARD 2000 LLC,LLC / corporate,175 CALIFORNIA ST,NEWTON,MA,02458,,,,,YES,,,,,2021-09-01,1,nominal / non-arms-length transfer,5,78602,352,1119000,781000,337000,1890,Old Style,3,3460,5000,7,28-112,105,Three-Family Residential,,,42.385836,-71.191873,"https://maps.google.com/?q=42.385836,-71.191873",F_739411_2965778,CY24_FY24
5,,absentee - out of state (PO Box),11 HAWTHORNE ST UNIT 11,11,Condominium,J & S HAWTHORNE LLC,LLC / corporate,PO BOX 661382,ARCADIA,CA,91006,,,,,YES,,,,,1978-09-26,89000,market sale,48,13548,190,604000,0,604000,1978,Condo,1,1392,,7,27-49-11,102,Residential Condominium,,,42.386648,-71.185836,"https://maps.google.com/?q=42.386648,-71.185836",F_741042_2966078,CY24_FY24
5,,absentee - elsewhere in MA,11-13 BRIGHT RD,,Two-family,GARCO LLC,LLC / corporate,120 LORING AVE,WINCHESTER,MA,01890,,,,,YES,,,,,2012-02-14,1,nominal / non-arms-length transfer,14,58481,565,1170000,776000,386000,1938,Old Style,2,2714,4860,7,21-71,104,Two-Family Residential,,,42.391179,-71.16115,"https://maps.google.com/?q=42.391179,-71.16115",F_747699_2967757,CY24_FY24
5,,absentee - owner elsewhere in Belmont,12-20 CHURCH ST,,"Mixed use, mostly residential",CORBETT REALTY LLC,LLC / corporate,114 ALEXANDER AVE,BELMONT,MA,02478,,,,,YES,,,,,1992-11-27,1,nominal / non-arms-length transfer,34,22662,117,2541000,826000,1715000,1910,Res/Comm,3,12297,6251,4,28-134,013,"Mixed Use (Primarily Residential, some Commercial)",,,42.387217,-71.189976,"https://maps.google.com/?q=42.387217,-71.189976",F_739920_2966289,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 1,1,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,338000,0,338000,1963,Condo,1,748,,4,12-131-1,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 12A,12A,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,305000,0,305000,1963,Condo,1,527,,4,12-131-12A,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 14,14,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,263000,0,263000,1963,Condo,1,527,,4,12-131-14,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 16,16,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,302000,0,302000,1963,Condo,1,527,,4,12-131-16,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 17,17,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,359000,0,359000,1963,Condo,1,748,,4,12-131-17,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 18,18,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,326000,0,326000,1963,Condo,1,748,,4,12-131-18,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 19,19,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,264000,0,264000,1963,Condo,1,527,,4,12-131-19,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 1A,1A,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,155000,0,155000,1963,Condo,1,256,,4,12-131-1A,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 2,2,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,321000,0,321000,1963,Condo,1,748,,4,12-131-2,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 22,22,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,262000,0,262000,1963,Condo,1,527,,4,12-131-22,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 24,24,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,359000,0,359000,1963,Condo,1,748,,4,12-131-24,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 25,25,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,305000,0,305000,1963,Condo,1,527,,4,12-131-25,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 26,26,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,289000,0,289000,1963,Condo,1,527,,4,12-131-26,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 27,27,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,299000,0,299000,1963,Condo,1,510,,4,12-131-27,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
